StartupName,City_Encoded,Investor_Encoded,InvestmentType_Encoded,Amount_Log,Year_Encoded,Month_Encoded,Cleaned_Description
Parcelled,9,"[1101, 4261]",28,,0,5,online logistics platform
Retigence Technologies,95,[2877],21,,0,5,business it intelligence services
Cloudcherry Analytics,31,"[4206, 1753]",28,13.815511557963774,0,5,crm analytics platform
HandyHome,95,"[741, 2077]",28,13.353476685668044,0,5,hyperlocal electronics repair service
iDreamCareer,102,"[4734, 4571, 2601]",28,,0,5,ed tech platform
Ola Cabs,9,[3312],21,,0,5,cab rental mobile app
NxtGen,9,"[1756, 656, 1910]",21,16.41820031748273,0,5,it infrastructure data center services
BankBazaar,31,"[298, 1346, 2622]",21,17.909855136853043,0,5,online financial services
Gozoomo,9,[3497],21,15.424948670398354,0,5,used car marketplace
Zenatix,52,"[3223, 2214, 3433, 3201]",28,11.989165855127435,0,5,internet of things platform
CultureAlley,70,[4232],21,15.687312888712007,0,5,language learning app
Goqii,95,[4490],21,,0,5,mobile fitness marketplace
Gingercrush,4,"[1528, 837]",28,13.815511557963774,0,5,custom merchandize platform
Elanic,9,"[3347, 4261, 379]",28,,0,5,p2p pre owned goods marketplace
Stitchwood,95,"[3020, 219]",28,12.886643575525625,0,5,custom furniture marketplace
Urban Tailor,9,[1579],28,,0,5,online tailoring services
ConfirmtTkt,9,[3071],28,,0,5,rail ticket confirmation predictor
Paper Boat,52,"[3883, 1686]",21,17.216707972959764,0,5,ethnic beverages manufacturer
getNow,100,[626],28,,0,5,hyperlocal goods marketplace
Wudstay,52,"[2427, 4500]",21,14.914123179965662,0,5,budget accommodation aggregator
Liases Foras,102,[1043],21,15.424948670398354,0,5,real estate rating analysis
Eatlo,9,"[3020, 1516, 125]",28,,0,5,food delivery platform
IndiaLends,102,"[1047, 3815]",21,,0,5,financial tech
Quinto,127,[2008],28,,0,5,food discovery app
Saavn,95,"[4235, 733, 3981, 2292, 2622, 3146]",21,18.420680753952364,0,5,music streaming app
Flytxt,96,"[4063, 776]",21,16.213405921671733,0,5,big data analytics platform
