Startup Name,Industry Vertical,City / Location,Investors’ Name,InvestmentType,Amount (in USD),Remarks,Year,Month,Industry/ Vertical,Sub-Vertical,Industry/Vertical,City,Investor Name,Amount(in USD),Investment Type,Founding Date,Founders,Investors,Investment Stage,Amount_Numeric,Amount_Log,Combined_Description,Cleaned_Description,City_Encoded,Industry/Vertical_Encoded,Investment Stage_Encoded
Swiggy,Online Food Delivery,Bangalore,"Accel Partners, SAIF Partners",Private Equity,"2,000,000",Series A,2015,Apr,,,Unknown,Unknown,,,,,,,Unknown,,, ,,144,501,59
Bluegape,Web Content Publishing,Gurgaon,"Rudy Gopalakrishnan, ah! Ventures",Seed Funding,"200,000",,2015,Apr,,,Unknown,Unknown,,,,,,,Unknown,,, ,,144,501,59
KeepTrax,Location Based App,Dallas / Hyderabad,,Seed Funding,"1,000,000",,2015,Apr,,,Unknown,Unknown,,,,,,,Unknown,,, ,,144,501,59
InstaLively,Video Streaming,New Delhi,"Rajesh Sawheny , Rajan Anandan, Amit Ranjan, Niraj Singh, AECAL, MeraEvents.",Seed Funding,"120,000",,2015,Apr,,,Unknown,Unknown,,,,,,,Unknown,,, ,,144,501,59
Pricejugaad,Price Comparison,Hyderabad,"Amit Tyagi, Sandeep Acharya & others",Seed Funding,"165,000",,2015,Apr,,,Unknown,Unknown,,,,,,,Unknown,,, ,,144,501,59
Quikr,Online Classifieds,Mumbai,"Tiger Global, Investment AB Kinnevik, Steadview Capital",Private Equity,"150,000,000",Series G (Checkprev funding details here),2015,Apr,,,Unknown,Unknown,,,,,,,Unknown,,, ,,144,501,59
PressPlay,Travel Entertainment,New Delhi,"Sequoia Capital, Jason Hirschhorn, Jarett Posner, and Amit Bhatiani",Seed Funding,"2,200,000",,2015,Apr,,,Unknown,Unknown,,,,,,,Unknown,,, ,,144,501,59
LogiNext,Logistics Tech,Mumbai,"Ajit Surana, Sanjay Mehta",Seed Funding,,,2015,Apr,,,Unknown,Unknown,,,,,,,Unknown,,, ,,144,501,59
FirstCry.com,eCommerce,Pune,"Silicon Valley Ventures, NEA Ventures, Valiant Capital, IDG Ventures India,  SAIF Partners, Vertex Ventures",Private Equity,"10,000,000","Series D( In Feb it was announced they raised 26M, but it is 36M, so added here)",2015,Apr,,,Unknown,Unknown,,,,,,,Unknown,,, ,,144,501,59
MobiKwik,Digital / Mobile Wallet,Gurgaon,"Tree Line Asia, Cisco Investments, American Express, Sequoia Capital",Private Equity,"25,000,000",Series B,2015,Apr,,,Unknown,Unknown,,,,,,,Unknown,,, ,,144,501,59
Olacabs,Cab Aggregator,Bangalore,"DST Global, Steadview Capital, Tiger Global, Accel Partners & Others",Private Equity,"400,000,000",Series E (Updated from 315M to 400M after Press Release),2015,Apr,,,Unknown,Unknown,,,,,,,Unknown,,, ,,144,501,59
Gadgetwood,Device Repair Svcs,New Delhi,"Ajai Chowdhry, Ashvin Chadha, Yogesh Bansal,Nitin Singhal & Others",Seed Funding,"200,000",,2015,Apr,,,Unknown,Unknown,,,,,,,Unknown,,, ,,144,501,59
Bonhomia,Premium Beverages,New Delhi,"Kanwaljit Singh, Shripad Nadkarni, Sarvesh Shahra & Others",Seed Funding,"2,000,000",,2015,Apr,,,Unknown,Unknown,,,,,,,Unknown,,, ,,144,501,59
Changer Mints,Digital / Mobile Wallet,Kolkata,Hyderabad based investor,Seed Funding,"165,000",,2015,Apr,,,Unknown,Unknown,,,,,,,Unknown,,, ,,144,501,59
Urban Ladder,Online FurnishingeCommerce,Bangalore,"Sequoia Capital, TR Capital, Steadview Capital, SAIF Partners, Kalaari Capital",Private Equity,"50,000,000",Series C,2015,Apr,,,Unknown,Unknown,,,,,,,Unknown,,, ,,144,501,59
Purple Squirrel,Ed-Tech,Mumbai,"Matrix Partners India, India Quotient",Private Equity,,Series B,2015,Apr,,,Unknown,Unknown,,,,,,,Unknown,,, ,,144,501,59
Whatfix,Interactive  How-To Guides,Bangalore,"Helion Venture Partner, Powerhouse Ventures, GSF and Other angel investors",Seed Funding,"900,000",,2015,Apr,,,Unknown,Unknown,,,,,,,Unknown,,, ,,144,501,59
iMMi Life,Mobile Health Tech,Chennai,Unitus Seed Fund,Seed Funding,,,2015,Apr,,,Unknown,Unknown,,,,,,,Unknown,,, ,,144,501,59
Zomato,Restaurant Reviews,Gurgaon,Info Edge (India),Private Equity,"25,000,000",Late Stage,2015,Apr,,,Unknown,Unknown,,,,,,,Unknown,,, ,,144,501,59
ZopNow,Online Grocer,Bangalore,"Dragoneer Investment, Accel Partners, Qualcomm Ventures, Times Internet",Private Equity,"10,000,000",Series B,2015,Apr,,,Unknown,Unknown,,,,,,,Unknown,,, ,,144,501,59
Nayi Disha,Ed-Tech,New Delhi,"Ajay Relan,",Seed Funding,"300,000",,2015,Apr,,,Unknown,Unknown,,,,,,,Unknown,,, ,,144,501,59
The Porter,Logistics Tech,Mumbai,Kae Capital,Seed Funding,"500,000",,2015,Apr,,,Unknown,Unknown,,,,,,,Unknown,,, ,,144,501,59
Commeasure,Online Hotel Booking,Noida,Jungle Ventures,Seed Funding,"1,000,000",,2015,Apr,,,Unknown,Unknown,,,,,,,Unknown,,, ,,144,501,59
Capricoast,Online Kitchen Furniture,Bangalore,Accel Partners India,Seed Funding,"1,250,000",,2015,Apr,,,Unknown,Unknown,,,,,,,Unknown,,, ,,144,501,59
LocalOye,Hyper-local Online Services,Mumbai,"Tiger Global Management, Lightspeed Venture Partners",Private Equity,"5,000,000",Series A,2015,Apr,,,Unknown,Unknown,,,,,,,Unknown,,, ,,144,501,59
Grofers,Hyper-Local Online/Mobile Grocery,Gurgaon,"Tiger Global, Sequoia Capital",Private Equity,"35,000,000",Series B,2015,Apr,,,Unknown,Unknown,,,,,,,Unknown,,, ,,144,501,59
PepperTap,Hyper-Local Online/Mobile Grocery,Gurgaon,"SAIF Partners, Sequoia Capital",Private Equity,"10,000,000",Series A,2015,Apr,,,Unknown,Unknown,,,,,,,Unknown,,, ,,144,501,59
PolicyBazaar,Online Policy Aggregator,Gurgaon,"PremjiInvest, Tiger Global, Ribbit Capital",Private Equity,"40,000,000",Series D,2015,Apr,,,Unknown,Unknown,,,,,,,Unknown,,, ,,144,501,59
UrbanClap,Hyperlocal Mobile Services Marketplace,New Delhi,"SAIF Partners, Accel Partners, Kunal Bahl, Rohit Bansal",Seed Funding,"1,600,000",,2015,Apr,,,Unknown,Unknown,,,,,,,Unknown,,, ,,144,501,59
Taskbob,OnDemandMobile Handyman Services,Mumbai,"Orios Venture Partners, Mayfield India",Seed Funding,"1,200,000",,2015,Apr,,,Unknown,Unknown,,,,,,,Unknown,,, ,,144,501,59
Robosoft,Mobile App Development,Udupi,"Ascent Capital, Kalaari Capital",Private Equity,"12,000,000",Series B,2015,Apr,,,Unknown,Unknown,,,,,,,Unknown,,, ,,144,501,59
Doormint,On-Demand Handyman Services,Mumbai,Powai Lake Ventures,Seed Funding,,,2015,Apr,,,Unknown,Unknown,,,,,,,Unknown,,, ,,144,501,59
Vyomo,Beauty & Wellness Mobile App,Gurgaon,YouWeCan Ventures,Seed Funding,,,2015,Apr,,,Unknown,Unknown,,,,,,,Unknown,,, ,,144,501,59
Pastiwala,Material Collection & Recycling,Vadodara,Agnus Capital,Private Equity,"4,000,000",Series A,2015,Apr,,,Unknown,Unknown,,,,,,,Unknown,,, ,,144,501,59
1mg (Healthkartplus),Online Pharmacy & Drug DB,Gurgaon,"Deep Kalra, Sequoia Capital, Omidyar Network, Intel Capital & Kae Capital",Private Equity,"6,000,000",Series A,2015,Apr,,,Unknown,Unknown,,,,,,,Unknown,,, ,,144,501,59
Freshdesk,Online / Mobile Customer Support,Chennai,"Tiger Global, Google Capital & Accel Partners",Private Equity,"50,000,000",Series E,2015,Apr,,,Unknown,Unknown,,,,,,,Unknown,,, ,,144,501,59
Sulekha.com,Online Classifieds & Listings,Chennai,GIC ventures,Private Equity,"28,000,000",Series C,2015,Apr,,,Unknown,Unknown,,,,,,,Unknown,,, ,,144,501,59
FindYahan,Hyperlocal services marketplace,New Delhi,The Phoenix Fund,Private Equity,,Series A,2015,Apr,,,Unknown,Unknown,,,,,,,Unknown,,, ,,144,501,59
Eat.Shop.Love,Fashion ECommerce,Bangalore,Undisclosed Investor,Private Equity,"3,500,000",Series A,2015,Apr,,,Unknown,Unknown,,,,,,,Unknown,,, ,,144,501,59
Avanti Learning,Private Coaching Centers,New Delhi,"Michael & Susan Dell Foundation, Pearson Learning Fund",Private Equity,"1,500,000",Series A,2015,Apr,,,Unknown,Unknown,,,,,,,Unknown,,, ,,144,501,59
Simplilearn,Online Certification Courses,Bangalore,"Mayfield Ventures, Kalaari Capital, Helion Ventures",Private Equity,"15,000,000",Series C,2015,Apr,,,Unknown,Unknown,,,,,,,Unknown,,, ,,144,501,59
Craftstvilla,Ethnic Product eCommerce,Mumbai,"Sequoia Capital, Nexus venture Partners, Lightspeed Ventures, GFC",Private Equity,"18,000,000",Series B,2015,Apr,,,Unknown,Unknown,,,,,,,Unknown,,, ,,144,501,59
HeadOut,Last Minute Travel Deals mobile marketplace,Bangalore / SFO,"Version One Ventures, 500 Startups, Nexus Venture Partners and Arena Ventures",Seed Funding,"1,800,000",,2015,Apr,,,Unknown,Unknown,,,,,,,Unknown,,, ,,144,501,59
happay,business expense management,Bangalore,AngelPrime,Seed Funding,"500,000",,2015,Apr,,,Unknown,Unknown,,,,,,,Unknown,,, ,,144,501,59
Jugnoo,Auto Rickshaw based Logistics,Chandigarh,"Rakesh Mathur, Vikas Taneja & others",Seed Funding,"1,000,000",,2015,Apr,,,Unknown,Unknown,,,,,,,Unknown,,, ,,144,501,59
EazyDiner,Restaurant reservation app,New Delhi,"Deepak Shahdadpuri, Gulpreet Kohli",Seed Funding,,,2015,Apr,,,Unknown,Unknown,,,,,,,Unknown,,, ,,144,501,59
Phone Warrior,Spam Call block App,New Delhi,Lightspeed Ventures,Seed Funding,,Pre-Series A,2015,Apr,,,Unknown,Unknown,,,,,,,Unknown,,, ,,144,501,59
Coverfox,Online Insurance Aggregator,Mumbai,"Accel US, Accel India, SAIF Partners.",Private Equity,"12,000,000",Series B,2015,Apr,,,Unknown,Unknown,,,,,,,Unknown,,, ,,144,501,59
Torqus,Restaurant Management Platform,Pune,S S Mukherji & Others,Seed Funding,"350,000",,2015,Apr,,,Unknown,Unknown,,,,,,,Unknown,,, ,,144,501,59
Grab,Food Logistics & Delivery,Mumbai,"Oliphans Capital, Haresh Chawla",Seed Funding,"1,000,000",,2015,Apr,,,Unknown,Unknown,,,,,,,Unknown,,, ,,144,501,59
LogicRoots,Interactive Educational Games,Jaipur,"Ah! Ventures, Calcutta Angels,  91SpringBoard",Seed Funding,"400,000",,2015,Apr,,,Unknown,Unknown,,,,,,,Unknown,,, ,,144,501,59
GIBBS,Clean Tech,New Delhi,Infuse Ventures fund,Private Equity,,Series B,2015,Apr,,,Unknown,Unknown,,,,,,,Unknown,,, ,,144,501,59
Babajobs,Grey collar Job Board,Bangalore,SEEK Ltd & affiliates,Private Equity,"10,000,000",Series B,2015,Apr,,,Unknown,Unknown,,,,,,,Unknown,,, ,,144,501,59
Urban Ladder,Online Furniture ecommerce,Bangalore,"Anand Rajaraman, Venky Harinarayan",Private Equity,,Series D,2015,Apr,,,Unknown,Unknown,,,,,,,Unknown,,, ,,144,501,59
Jay Robotix,Robotic Program learning,Hyderabad,Cross Border Angels & others,Seed Funding,"250,000",,2015,Apr,,,Unknown,Unknown,,,,,,,Unknown,,, ,,144,501,59
Naaptol.com,Tele-Shopping / eCommerce,Mumbai,Mitsui & Co & existing investors,Private Equity,"21,500,000",Series C,2015,Apr,,,Unknown,Unknown,,,,,,,Unknown,,, ,,144,501,59
ReGlobe,Used Gadgets Buy / Refurbishing,Gurgaon,"Bessemer Ventures, Blume Ventures",Seed Funding,"1,000,000",,2015,Apr,,,Unknown,Unknown,,,,,,,Unknown,,, ,,144,501,59
Icertis,Cloud Enterprise Software,Pune / US,"Greycroft Partners, Fidelity Growth Partners",Private Equity,"6,000,000",Series A,2015,Apr,,,Unknown,Unknown,,,,,,,Unknown,,, ,,144,501,59
Tracxn,Startup Analytics platform,Bangalore,SAIF Partners,Private Equity,"3,500,000",Series A,2015,Apr,,,Unknown,Unknown,,,,,,,Unknown,,, ,,144,501,59
Dazo,Mobile Food Ordering app,Bangalore,"Sumit Jain, Aprameya Radhakrishna, Alok Goel, Rajan Anandan, Amit Agrawal, Vinay Goel, Gaurav Munjal, Ashish Dev Kapur",Seed Funding,,,2015,Apr,,,Unknown,Unknown,,,,,,,Unknown,,, ,,144,501,59
Tradelab,Financial Markets Software,Bangalore,Rainmatter,Seed Funding,"400,000",,2015,Apr,,,Unknown,Unknown,,,,,,,Unknown,,, ,,144,501,59
PiQube,Hiring Analytics platform,Chennai,The HR Fund,Seed Funding,"500,000",,2015,Apr,,,Unknown,Unknown,,,,,,,Unknown,,, ,,144,501,59
